name,category,refrigerated,frozen,room_temperature
대파,채소,10,30,
양파,채소,7,,
가지,채소,5,,
애호박,채소,5~7,30,
브로콜리,채소,7,,
양배추,채소,7~14,,
당근,채소,14,,
오이,채소,7,,
버섯,채소,5,30,
감자,채소,4~5,,
마늘,채소,7~14,,
시금치,채소,3,,
사과,과일,21,,
배,과일,5~7,,
포도,과일,2~4,,2~4
복숭아,과일,3~5,,
수박,과일,5,,
바나나,과일,3,21,7
소고기,"육류, 생선 & 달걀",3~5,180,
소고기 썬 것,"육류, 생선 & 달걀",3~4,180,
소고기 간 것,"육류, 생선 & 달걀",1~2,60~90,
양념 소고기,"육류, 생선 & 달걀",3,30,
돼지고기,"육류, 생선 & 달걀",3,120~180,
돼지고기 썬 것,"육류, 생선 & 달걀",3,120~180,
돼지고기 간 것,"육류, 생선 & 달걀",2,120,
돈가스,"육류, 생선 & 달걀",,90~120,
"햄, 소시지","육류, 생선 & 달걀",5~14,60,
베이컨,"육류, 생선 & 달걀",14,30,
닭고기,"육류, 생선 & 달걀",2,60,
생선,"육류, 생선 & 달걀",1~2,90,
조개,"육류, 생선 & 달걀",2,30,
달걀,"육류, 생선 & 달걀",21~35,,
올리브유,기름 & 조미료,,,720
참기름,기름 & 조미료,,,90
고춧가루,기름 & 조미료,,,360
"국, 찌개, 반찬",기타,2~3,30,
두부,기타,3~5,,
견과류,기타,,90,
떡,기타,,30,1
빵,기타,,90,2~3
